eia_id,hifld_name,hifld_state,customers
13519,CITY OF NEWARK - (DE),DE,13238
5027,DELMARVA POWER,DE,544898
5070,DELAWARE ELECTRIC COOPERATIVE,DE,113057
5335,CITY OF DOVER - (DE),DE,24756
10704,CITY OF LANSING - (MI),MI,99070
11701,CITY OF MARQUETTE - (MI),MI,17013
12377,MIDWEST ENERGY COOPERATIVE,MI,36771
1366,CITY OF BAY CITY - (MI),MI,20295
15340,PRESQUE ISLE ELEC & GAS COOP,MI,34651
18895,THUMB ELECTRIC COOP OF MICH,MI,12389
19125,CITY OF TRAVERSE CITY - (MI),MI,11979
19396,TRI-COUNTY ELECTRIC COOP (MI),MI,26829
19578,UPPER PENINSULA POWER COMPANY,MI,53493
21048,WYANDOTTE MUNICIPAL SERV COMM,MI,12712
305,ALGER-DELTA COOP ELECTRIC ASSN,MI,10291
3436,CHERRYLAND ELECTRIC COOP INC,MI,37421
38084,GREAT LAKES ENERGY COOP,MI,130291
3828,CLOVERLAND ELECTRIC CO-OP,MI,43190
392,ALPENA POWER CO,MI,16683
4254,CONSUMERS ENERGY CO,MI,1875975
5109,DTE ELECTRIC COMPANY,MI,2261902
7483,CITY OF GRAND HAVEN - (MI),MI,14846
8723,CITY OF HOLLAND,MI,30281
1009,CITY OF AUSTIN - (MN),MN,11854
10618,LAKE REGION ELECTRIC COOPERATIVE - (MN),MN,29487
10697,LAKE COUNTRY POWER,MN,50786
12546,MILLE LACS ENERGY COOPERATIVE,MN,15824
12647,"ALLETE, INC.",MN,150464
12651,MINNESOTA VALLEY ELECTRIC COOP,MN,46120
12894,CITY OF MOORHEAD - (MN),MN,20407
13780,NORTHERN STATES POWER CO,MN,266930
13781,NORTHERN STATES POWER CO - MINNESOTA,MN,1538707
14232,OTTER TAIL POWER CO,MN,134122
14246,CITY OF OWATONNA - (MN),MN,12111
14468,PEOPLE'S COOPERATIVE SERVICES,MN,23562
1529,"BELTRAMI ELECTRIC COOP, INC",MN,22009
16181,ROCHESTER PUBLIC UTILITIES,MN,58182
16368,RUNESTONE ELECTRIC ASSN,MN,15089
16971,SHAKOPEE PUBLIC UTILITIES COMM,MN,18954
18019,STEARNS COOPERATIVE ELEC ASSN,MN,28073
18047,STEELE-WASECA COOPERATIVE ELECTRIC,MN,11868
1884,BENCO ELECTRIC COOPERATIVE,MN,19546
19157,MIENERGY COOPERATIVE,MN,23377
20639,"WILD RICE ELECTRIC COOP, INC",MN,14632
20996,WRIGHT-HENNEPIN COOP ELEC ASSN,MN,58039
25177,DAKOTA ELECTRIC ASSOCIATION,MN,113730
295,CITY OF ALEXANDRIA - (MN),MN,10514
3400,CITY OF CHASKA - (MN),MN,11000
4577,CROW WING COOPERATIVE POWER & LIGHT COMP,MN,46779
5574,EAST CENTRAL ENERGY,MN,64243
5773,CITY OF ELK RIVER,MN,12955
6782,FREEBORN MOWER ELECTRIC COOPERATIVE,MN,21170
689,CONNEXUS ENERGY,MN,142316
691,CITY OF ANOKA,MN,12813
9475,ITASCA-MANTRAP CO-OP ELECTRICAL ASSN,MN,12448
10056,CITY OF KAUKAUNA,WI,15977
108,ADAMS-COLUMBIA ELECTRIC COOP,WI,38812
11479,MADISON GAS & ELECTRIC CO,WI,163413
11571,MANITOWOC PUBLIC UTILITIES,WI,18461
11740,CITY OF MARSHFIELD - (WI),WI,13975
1251,BARRON ELECTRIC COOP,WI,19297
