eia_id,hifld_name,hifld_state,customers
14328,PACIFIC GAS & ELECTRIC CO.,CA,5604453
17609,SOUTHERN CALIFORNIA EDISON CO,CA,5223105
16609,SAN DIEGO GAS & ELECTRIC CO,CA,1499750
11208,LOS ANGELES DEPARTMENT OF WATER & POWER,CA,1488920
16534,SACRAMENTO MUNICIPAL UTIL DIST,CA,647097
61432,CENTRAL COAST COMMUNITY ENERGY,CA,443755
9216,IMPERIAL IRRIGATION DISTRICT,CA,161630
12745,MODESTO IRRIGATION DISTRICT,CA,132213
590,CITY OF ANAHEIM - (CA),CA,122391
16088,CITY OF RIVERSIDE - (CA),CA,112235
19281,TURLOCK IRRIGATION DISTRICT,CA,94399
7294,CITY OF GLENDALE - (CA),CA,90283
16295,CITY OF ROSEVILLE - (CA),CA,66941
14534,CITY OF PASADENA - (CA),CA,66452
16655,CITY OF SANTA CLARA - (CA),CA,59555
2507,CITY OF BURBANK WATER AND POWER,CA,53252
57483,LIBERTY UTILITIES,CA,49989
15783,CITY OF REDDING - (CA),CA,44544
207,ALAMEDA MUNICIPAL POWER,CA,36377
14401,CITY OF PALO ALTO - (CA),CA,29644
11124,CITY OF LODI - (CA),CA,25418
17612,BEAR VALLEY ELECTRIC SERVICE,CA,24678
4003,CITY OF COLTON - (CA),CA,20330
1050,CITY OF AZUSA,CA,16967
11148,CITY OF LOMPOC - (CA),CA,15181
19229,TRUCKEE DONNER P U D,CA,14602
1192,CITY OF BANNING - (CA),CA,13224
12312,MERCED IRRIGATION DISTRICT,CA,12498
10724,LASSEN MUNICIPAL UTILITY DISTRICT,CA,10715
