eia_id,hifld_name,hifld_state,customers
13831,CITY OF NORWICH - (CT),CT,20747
19497,UNITED ILLUMINATING CO,CT,343461
20038,TOWN OF WALLINGFORD - (CT),CT,25219
4176,CONNECTICUT LIGHT & POWER CO,CT,1276313
7716,GROTON DEPT OF UTILITIES - (CT),CT,13858
11586,TOWN OF MANSFIELD - (MA),MA,10545
11624,TOWN OF MARBLEHEAD - (MA),MA,10141
12473,TOWN OF MIDDLEBOROUGH - (MA),MA,17783
13679,TOWN OF NORTH ATTLEBOROUGH - (MA),MA,13804
13839,CITY OF NORWOOD - (MA),MA,15745
14605,CITY OF PEABODY - (MA),MA,26647
1523,TOWN OF BELMONT - (MA),MA,11818
15748,TOWN OF READING - (MA),MA,30818
17127,TOWN OF SHREWSBURY - (MA),MA,16335
18488,CITY OF TAUNTON,MA,39168
19979,TOWN OF WAKEFIELD - (MA),MA,13286
20310,TOWN OF WELLESLEY - (MA),MA,10538
20481,CITY OF WESTFIELD - (MA),MA,18283
2144,TOWN OF BRAINTREE - (MA),MA,16738
3477,CITY OF CHICOPEE - (MA),MA,26014
5480,TOWN OF DANVERS,MA,13382
54913,NSTAR ELECTRIC COMPANY,MA,1514056
8774,CITY OF HOLYOKE - (MA),MA,17888
8796,CITY OF HINGHAM - (MA),MA,10144
8973,TOWN OF HUDSON - (MA),MA,13359
13214,THE NARRAGANSETT ELECTRIC CO,RI,503017
13441,NEW HAMPSHIRE ELEC COOP INC,NH,83564
15472,PUBLIC SERVICE CO OF NH,NH,533904
24590,UNITIL ENERGY SYSTEMS,NH,80797
26510,LIBERTY UTILITIES (GRANITE STATE ELECTRI,NH,45978
6374,FITCHBURG GAS & ELEC LIGHT CO,NH,30580
19791,"VERMONT ELECTRIC COOPERATIVE, INC",VT,40588
20151,WASHINGTON ELECTRIC COOP - (VT),VT,11921
2548,CITY OF BURLINGTON ELECTRIC - (VT),VT,21447
7601,GREEN MOUNTAIN POWER CORP,VT,271700
1179,VERSANT POWER,ME,163798
3266,CENTRAL MAINE POWER CO,ME,640354
5609,EASTERN MAINE ELECTRIC COOP,ME,13006
