eia_id,hifld_name,hifld_state,customers
4226,CONSOLIDATED EDISON CO-NY INC,NY,3593840
13573,NIAGARA MOHAWK POWER CORP.,NY,1708924
11171,LONG ISLAND POWER AUTHORITY,NY,1151521
13511,NEW YORK STATE ELEC & GAS CORP,NY,916522
16183,ROCHESTER GAS & ELECTRIC CORP,NY,390455
3249,CENTRAL HUDSON GAS & ELEC CORP,NY,322086
14154,ORANGE & ROCKLAND UTILS INC,NY,240209
9645,JAMESTOWN BOARD OF PUBLIC UTIL,NY,18583
5930,VILLAGE OF FAIRPORT - (NY),NY,17826
6775,VILLAGE OF FREEPORT - (NY),NY,15161
16217,VILLAGE OF ROCKVILLE CENTRE - (NY),NY,10805
15145,CITY OF PLATTSBURGH - (NY),NY,10196
