eia_id,hifld_name,hifld_state,customers
10345,"CITY OF KINSTON - (NC)",NC,11881
10966,"CITY OF LEXINGTON - (NC)",NC,19555
11291,"LUMBEE RIVER ELEC MEMBER CORP",NC,65036
11318,"CITY OF LUMBERTON - (NC)",NC,11517
12801,"CITY OF MONROE - (NC)",NC,11634
13416,"CITY OF NEW BERN - (NC)",NC,23911
14717,"PEE DEE ELECTRIC MEMBER CORP",NC,21749
15023,"PIEDMONT ELECTRIC MEMBER CORP",NC,33659
15671,"RANDOLPH ELECTRIC MEMBER CORP",NC,33264
16101,"ROANOKE ELECTRIC MEMBER CORP",NC,14226
16226,"CITY OF ROCKY MOUNT - (NC)",NC,28992
16496,"RUTHERFORD ELEC MEMBER CORP",NC,74936
17572,"SOUTH RIVER ELEC MEMBER CORP",NC,47127
18022,"CITY OF STATESVILLE - (NC)",NC,14342
18339,"SURRY-YADKIN ELEC MEMBER CORP",NC,27873
1889,"BLUE RIDGE ELEC MEMBER CORP - (NC)",NC,79053
18957,"TRI-COUNTY ELEC MEMBER CORP (NC)",NC,26295
19108,"TIDELAND ELECTRIC MEMBER CORP",NC,23676
19435,"UNION ELECTRIC MEMBERSHIP CORP - (NC)",NC,83575
19981,"WAKE ELECTRIC MEMBERSHIP CORP",NC,52826
20142,"CITY OF WASHINGTON - (NC)",NC,14054
20785,"CITY OF WILSON",NC,35857
21632,"ENERGYUNITED ELEC MEMBER CORP",NC,136907
232,"CITY OF ALBEMARLE - (NC)",NC,12679
240,"ALBEMARLE ELECTRIC MEMBER CORP",NC,13488
24889,"BRUNSWICK ELECTRIC MEMBER CORP",NC,104462
3046,"DUKE ENERGY PROGRESS - (NC)",NC,1688589
3107,"CARTERET-CRAVEN EL MEMBER CORP",NC,42141
3250,"CENTRAL ELECTRIC MEMBERSHIP CORP. - (NC)",NC,23965
4150,"CITY OF CONCORD - (NC)",NC,33289
5416,"DUKE ENERGY CAROLINAS, LLC",NC,2791712
5656,"EDGECOMBE-MARTIN COUNTY E M C",NC,11670
5760,"CITY OF ELIZABETH CITY - (NC)",NC,13180
6235,"FAYETTEVILLE PUBLIC WORKS COMMISSION",NC,84306
6640,"FOUR COUNTY ELEC MEMBER CORP",NC,34177
6784,"FRENCH BROAD ELEC MEMBER CORP",NC,40054
7027,"CITY OF GASTONIA - (NC)",NC,30102
719,"TOWN OF APEX- (NC)",NC,27178
7639,"GREENVILLE UTILITIES COMM",NC,72148
7978,"HALIFAX ELECTRIC MEMBER CORP",NC,12134
8333,"HAYWOOD ELECTRIC MEMBER CORP",NC,28911
8571,"TOWN OF HIGH POINT",NC,43313
9837,"JONES-ONSLOW ELEC MEMBER CORP",NC,80681
10768,"LAURENS ELECTRIC COOP, INC",SC,61960
11019,"LITTLE RIVER ELECTRIC COOP INC",SC,14991
11355,"LYNCHES RIVER ELEC COOP, INC",SC,21933
12462,"MID-CAROLINA ELECTRIC COOP INC",SC,59262
13524,"NEWBERRY ELECTRIC COOP, INC",SC,13523
14164,"CITY OF ORANGEBURG - (SC)",SC,24598
14175,"TRI-COUNTY ELECTRIC COOP, INC (SC)",SC,18355
14398,"PALMETTO ELECTRIC COOP INC",SC,77196
14557,"PEE DEE ELECTRIC COOP, INC",SC,31288
1613,"BERKELEY ELECTRIC COOP INC",SC,119109
16195,"CITY OF ROCK HILL - (SC)",SC,40367
162,"AIKEN ELECTRIC COOP INC",SC,50951
16606,"SANTEE ELECTRIC COOP, INC",SC,44370
17539,"DOMINION ENERGY SOUTH CAROLINA, INC",SC,781613
17543,"SOUTH CAROLINA PUBLIC SERVICE AUTHORITY",SC,202263
1763,"BLACK RIVER ELECTRIC COOP, INC - (SC)",SC,33977
1890,"BLUE RIDGE ELECTRIC COOP INC - (SC)",SC,70160
21002,"YORK ELECTRIC COOP INC",SC,68006
