eia_id,hifld_name,hifld_state,customers
56146,"BLACK HILLS COLORADO ELECTRIC, LLC",SD,100423
19545,"BLACK HILLS POWER, INC.",SD,75131
13809,NORTHWESTERN ENERGY - (SD),SD,64386
5574,EAST CENTRAL ENERGY,MN,64243
20996,WRIGHT-HENNEPIN COOP ELEC ASSN,MN,58039
24949,CASS COUNTY ELEC COOP INC,ND,56631
10697,LAKE COUNTRY POWER,MN,50786
4577,CROW WING COOPERATIVE POWER & LIGHT COMP,MN,46779
12651,MINNESOTA VALLEY ELECTRIC COOP,MN,46120
3461,CHEYENNE LIGHT FUEL & POWER,SD,44415
108,ADAMS-COLUMBIA ELECTRIC COOP,WI,38812
10618,LAKE REGION ELECTRIC COOPERATIVE - (MN),MN,29487
18019,STEARNS COOPERATIVE ELEC ASSN,MN,28073
17267,SIOUX VALLEY SW ELEC COOP,SD,27860
14468,PEOPLE'S COOPERATIVE SERVICES,MN,23562
19157,MIENERGY COOPERATIVE,MN,23377
1529,"BELTRAMI ELECTRIC COOP, INC",MN,22009
2985,"CAPITAL ELECTRIC COOP, INC",ND,21791
15344,POLK-BURNETT ELECTRIC COOP,WI,21606
19293,SOUTHEASTERN ELECTRIC COOP INC - (SD),SD,21286
6782,FREEBORN MOWER ELECTRIC COOPERATIVE,MN,21170
12301,NODAK ELECTRIC COOP INC,ND,20769
1884,BENCO ELECTRIC COOPERATIVE,MN,19546
20401,WEST RIVER ELECTRIC ASSN INC,SD,19357
1251,BARRON ELECTRIC COOP,WI,19297
16060,RIVERLAND ENERGY COOPERATIVE,WI,19061
16971,SHAKOPEE PUBLIC UTILITIES COMM,MN,18954
20413,MOUNTRAIL-WILLIAMS ELEC COOP,ND,18582
13936,OAKDALE ELECTRIC COOP,WI,18489
11571,MANITOWOC PUBLIC UTILITIES,WI,18461
16196,ROCK ENERGY COOPERATIVE,WI,18081
18312,SUN PRAIRIE UTILITIES,WI,17383
19790,VERENDRYE ELECTRIC COOP INC,ND,16586
10056,CITY OF KAUKAUNA,WI,15977
12546,MILLE LACS ENERGY COOPERATIVE,MN,15824
16368,RUNESTONE ELECTRIC ASSN,MN,15089
55959,ROUGHRIDER ELECTRIC COOPERATIV,ND,14975
13815,NORTHWESTERN WISCONSIN ELEC CO,WI,14913
20639,"WILD RICE ELECTRIC COOP, INC",MN,14632
20862,WISCONSIN RAPIDS W W & L COMM,WI,14453
16740,SCENIC RIVERS ENERGY COOP,WI,14422
11740,CITY OF MARSHFIELD - (WI),WI,13975
20187,WATERTOWN MUNICIPAL UTILITIES,SD,13697
12087,MCKENZIE ELECTRIC COOP INC,ND,13456
5773,CITY OF ELK RIVER,MN,12955
691,CITY OF ANOKA,MN,12813
9475,ITASCA-MANTRAP CO-OP ELECTRICAL ASSN,MN,12448
5632,EAU CLAIRE ELECTRIC COOP,WI,12155
4715,DAHLBERG LIGHT & POWER CO,WI,12065
13196,NORTHERN PLAINS ELECTRIC COOP,ND,11869
18047,STEELE-WASECA COOPERATIVE ELECTRIC,MN,11868
2285,CITY OF BROOKINGS - (SD),SD,11726
17868,ST CROIX ELECTRIC COOP,WI,11562
19813,VERNON ELECTRIC COOP,WI,11449
1769,"BLACK HILLS ELECTRIC COOP, INC",SD,11014
3400,CITY OF CHASKA - (MN),MN,11000
13963,OCONOMOWOC UTILITIES,WI,10641
295,CITY OF ALEXANDRIA - (MN),MN,10514
5417,DUNN COUNTY ELECTRIC COOP,WI,10372
13964,OCONTO ELECTRIC COOPERATIVE,WI,10223
12899,MOR-GRAN-SOU ELECTRIC COOP INC,ND,10222
