eia_id,hifld_name,hifld_state,customers
38084,GREAT LAKES ENERGY COOP,MI,130291
17828,CITY OF SPRINGFIELD - (IL),IL,71917
13208,CITY OF NAPERVILLE - (IL),IL,62100
3436,CHERRYLAND ELECTRIC COOP INC,MI,37421
4362,CORN BELT ENERGY CORPORATION,IL,36807
12377,MIDWEST ENERGY COOPERATIVE,MI,36771
15340,PRESQUE ISLE ELEC & GAS COOP,MI,34651
11053,LINN COUNTY REC,IA,32965
19396,TRI-COUNTY ELECTRIC COOP (MI),MI,26829
17585,"SOUTHEASTERN IL ELEC COOP, INC",IL,24907
17697,SOUTHWESTERN ELECTRIC COOP INC - (IL),IL,24007
5605,EASTERN IOWA LIGHT & POWER COOP,IA,23968
9750,"JO-CARROLL ENERGY, INC",IL,20359
1366,CITY OF BAY CITY - (MI),MI,20295
13292,NORRIS ELECTRIC COOP,IL,20210
3203,CEDAR FALLS UTILITIES,IA,19997
11701,CITY OF MARQUETTE - (MI),MI,17013
12642,MAQUOKETA VALLEY RRL ELEC COOP,IA,16784
392,ALPENA POWER CO,MI,16683
18955,"TRI-COUNTY ELECTRIC COOP, INC (IL)",IL,16561
17860,CITY OF ST CHARLES - (IL),IL,16266
5535,EGYPTIAN ELECTRIC COOP ASSN,IL,15378
7483,CITY OF GRAND HAVEN - (MI),MI,14846
20222,WAYNE-WHITE COUNTIES ELEC COOP,IL,13684
5585,EASTERN ILLINOIS ELEC COOP,IL,13526
9425,IOWA LAKES ELECTRIC COOP,IA,13081
21048,WYANDOTTE MUNICIPAL SERV COMM,MI,12712
18895,THUMB ELECTRIC COOP OF MICH,MI,12389
12450,MIDLAND POWER COOP,IA,12304
13143,BOARD OF WATER ELECTRIC & COMMUNICATIONS,IA,11705
17631,SOUTHERN ILLINOIS ELEC COOP,IL,11212
1325,CITY OF BATAVIA - (IL),IL,11194
12395,MENARD ELECTRIC COOP,IL,10970
7096,CITY OF GENEVA- (IL),IL,10456
9209,ILLINOIS RURAL ELECTRIC COOP,IL,10306
305,ALGER-DELTA COOP ELECTRIC ASSN,MI,10291
17260,NORTH WEST RURAL ELECTRIC COOP,IA,10223
