eia_id,hifld_name,hifld_state,customers
18085,SOUTH CENTRAL POWER COMPANY,OH,124742
10331,KINGSPORT POWER CO,OH,48820
20521,WHEELING POWER CO,OH,41558
8447,HENDRICKS COUNTY RURAL E M C,IN,36625
636,CITY OF ANDERSON - (IN),IN,34777
12929,SOUTH CENTRAL INDIANA REMC,IN,34769
20603,NORTHEASTERN RURAL E M C,IN,31284
9778,JOHNSON COUNTY RURAL E M C,IN,30232
7977,CITY OF HAMILTON - (OH),OH,29601
18940,TIPMONT RURAL ELEC MEMBER CORP,IN,29290
12674,CITY OF MISHAWAKA,IN,28613
17599,SOUTHEASTERN INDIANA R E M C,IN,28020
22822,CLARK COUNTY RURAL E M C - (IN),IN,27248
10668,LICKING RURAL ELECTRIC INC,OH,27116
8179,HARRISON COUNTY RURAL E M C,IN,24114
9999,KANKAKEE VALLEY RURAL E M C,IN,21364
15989,CITY OF RICHMOND - (IN),IN,21268
19667,UTILITIES DIST-WESTERN IN REMC,IN,19718
12990,CONSOLIDATED COOPERATIVE,OH,18771
10448,KOSCIUSKO COUNTY RURAL E M C,IN,18700
2502,"BUCKEYE RURAL ELEC COOP, INC",OH,18605
59505,HEARTLAND REMC,IN,18233
8000,NINESTAR CONNECT,IN,17794
8761,HOLMES-WAYNE ELECTRIC COOP INC,OH,17778
4065,CITY OF COLUMBUS - (OH),OH,17453
25295,WESTERN INDIANA ENERGY REMC,IN,17298
24753,BOONE COUNTY RURAL EMC,IN,17222
7891,GUERNSEY-MUSKINGUM EL COOP INC,OH,17107
15054,"PIONEER RURAL ELEC COOP, INC - (OH)",OH,17068
11200,"LORAIN-MEDINA R E C, INC",OH,16693
27599,CARROLL-WHITE REMC,IN,14970
17038,RUSHSHELBY ENERGY,IN,14894
2054,CITY OF BOWLING GREEN - (OH),OH,14700
5394,DUBOIS RURAL ELECTRIC COOP INC,IN,14250
14599,"PAULDING-PUTMAN ELEC COOP, INC",OH,13454
8034,HANCOCK-WOOD ELECTRIC COOP INC,OH,13355
13602,CITY OF NILES - (OH),OH,13056
11142,CITY OF LOGANSPORT - (IN),IN,12808
14381,CITY OF PAINESVILLE,OH,12660
14471,PARKE COUNTY RURAL E M C,IN,12497
20216,WHITEWATER VALLEY RURAL EMC,IN,12135
7627,CITY OF GREENFIELD - (IN),IN,12097
3076,"CARROLL ELECTRIC COOP, INC - (OH)",OH,11996
1283,BARTHOLOMEW COUNTY RURAL E M C,IN,11984
2651,BUTLER RURAL ELECTRIC COOP INC - (OH),OH,11723
13647,NOBLE COUNTY R E M C,IN,11575
19501,"UNION RURAL ELECTRIC COOP, INC",OH,11423
12515,"MIDWEST ELECTRIC, INC",OH,11059
15095,CITY OF PIQUA - (OH),OH,10851
20150,WASHINGTON ELECTRIC COOP - (OH),OH,10527
14839,CITY OF PERU - (IN),IN,10466
4508,"CRAWFORDSVILLE ELEC, LGT & PWR",IN,10123
