eia_id,hifld_name,hifld_state,customers
61432,CENTRAL COAST COMMUNITY ENERGY,CA,443755
16295,CITY OF ROSEVILLE - (CA),CA,66941
14534,CITY OF PASADENA - (CA),CA,66452
2507,CITY OF BURBANK WATER AND POWER,CA,53252
57483,LIBERTY UTILITIES,CA,49989
15783,CITY OF REDDING - (CA),CA,44544
207,ALAMEDA MUNICIPAL POWER,CA,36377
14401,CITY OF PALO ALTO - (CA),CA,29644
11124,CITY OF LODI - (CA),CA,25418
17612,BEAR VALLEY ELECTRIC SERVICE,CA,24678
4003,CITY OF COLTON - (CA),CA,20330
1050,CITY OF AZUSA,CA,16967
11148,CITY OF LOMPOC - (CA),CA,15181
19229,TRUCKEE DONNER P U D,CA,14602
1192,CITY OF BANNING - (CA),CA,13224
12312,MERCED IRRIGATION DISTRICT,CA,12498
10724,LASSEN MUNICIPAL UTILITY DISTRICT,CA,10715
