eia_id,hifld_name,hifld_state,customers
10000,EVERGY METRO,MO,575300
12698,EVERGY MISSOURI WEST,MO,340298
5860,EMPIRE DISTRICT ELECTRIC CO,MO,181326
17833,CITY UTILITIES OF SPRINGFIELD - (MO),MO,119341
20130,WARREN RURAL ELEC COOP CORP,KY,72627
4675,CUIVRE RIVER ELECTRIC COOP INC,MO,71152
17564,SOUTH KENTUCKY RURAL E C C,KY,70762
14251,OWEN ELECTRIC COOP INC,KY,65230
1886,BLUE GRASS ENERGY COOP CORP,KY,61945
9964,KENERGY CORP,KY,59064
9231,CITY OF INDEPENDENCE - (MO),MO,58607
16587,SALT RIVER ELECTRIC COOP CORP,KY,55624
9575,JACKSON ENERGY COOP CORP - (KY),KY,52719
4045,CITY OF COLUMBIA - (MO),MO,52238
20574,WHITE RIVER VALLEY EL COOP INC,MO,46625
14724,PENNYRILE RURAL ELECTRIC COOP,KY,46062
27238,"SOUTHWEST ELECTRIC COOP, INC",MO,43496
14285,OZARK BORDER ELECTRIC COOP,MO,40669
20377,WEST KENTUCKY RURAL E C C,KY,39163
10603,"LACLEDE ELECTRIC COOP, INC",MO,38374
13651,NOLIN RURAL ELECTRIC COOP CORP,KY,36903
14288,OZARK ELECTRIC COOP INC - (MO),MO,34763
2001,BOONE ELECTRIC COOP,MO,34266
4063,CO-MO ELECTRIC COOP INC,MO,32675
2056,CITY OF BOWLING GREEN - (KY),KY,31616
9331,INTERCOUNTY ELECTRIC COOP ASSN,MO,31405
12243,MEADE COUNTY RURAL E C C,KY,30975
9605,JACKSON PURCHASE ENERGY CORPORATION,KY,30459
3600,CITIZENS ELECTRIC CORPORATION - (MO),MO,27922
18498,TAYLOR COUNTY RURAL E C C,KY,27900
9292,INTER COUNTY ENERGY COOP CORP,KY,27719
3687,CLARK ENERGY COOP INC - (KY),KY,27644
6194,FARMERS RURAL ELECTRIC COOP CORP - (KY),KY,26452
14268,CITY OF OWENSBORO - (KY),KY,26273
15138,"PLATTE-CLAY ELECTRIC COOP, INC",MO,26149
6442,FLEMING-MASON ENERGY COOP INC,KY,25734
8934,"HOWELL-OREGON ELEC COOP, INC",MO,25232
1775,BLACK RIVER ELECTRIC COOP - (MO),MO,24829
4622,"CUMBERLAND VALLEY ELECTRIC, INC.",KY,24047
16751,THREE RIVERS ELECTRIC COOP,MO,23946
14371,CITY OF PADUCAH - (KY),KY,22611
6708,CITY OF FRANKFORT - (KY),KY,21171
4524,"CRAWFORD ELECTRIC COOP, INC",MO,21099
20318,WEBSTER ELECTRIC COOP,MO,19163
13520,"NEW-MAC ELECTRIC COOP, INC",MO,18932
14192,OSAGE VALLEY ELEC COOP ASSN,MO,17656
11011,LICKING VALLEY RURAL E C C,KY,17597
17044,"SHELBY ENERGY CO-OP, INC",KY,17455
16805,SEMO ELECTRIC COOPERATIVE,MO,16258
7558,GRAYSON RURAL ELECTRIC COOP CORP,KY,15504
20363,WEST CENTRAL ELECTRIC COOP INC - (MO),MO,14899
6181,"FARMERS ELECTRIC COOP, INC - (MO)",MO,13426
4160,CALLAWAY ELECTRIC COOPERATIVE,MO,13320
8846,CITY OF HOPKINSVILLE,KY,12869
1708,BIG SANDY RURAL ELEC COOP CORP,KY,12764
8449,HENDERSON CITY UTILITY COMM,KY,11936
16511,SAC-OSAGE ELECTRIC COOP INC,MO,11632
11463,MACON ELECTRIC COOP,MO,11551
3268,CENTRAL MISSOURI ELEC COOP INC,MO,11255
3634,CITY OF NIXA - (MO),MO,11247
10370,CITY OF KIRKWOOD - (MO),MO,10254
7024,GASCOSAGE ELECTRIC COOP,MO,10091
