eia_id,hifld_name,hifld_state,customers
17684,SOUTHWEST LOUISIANA E M C,LA,114256
3093,CARROLL ELECTRIC COOP CORP - (AR),AR,113815
6342,FIRST ELECTRIC COOP CORP,AR,100458
3841,COAST ELECTRIC POWER ASSN,MS,87535
14289,OZARKS ELECTRIC COOP CORP - (AR),AR,85093
17252,SINGING RIVER ELEC COOPERATIVE,MS,78324
9096,CITY OF LAFAYETTE - (LA),LA,70865
17647,SOUTHERN PINE ELECTRIC COOPERATIVE,MS,69822
817,ARKANSAS VALLEY ELEC COOP CORP,AR,61961
21567,"WASHINGTON-ST TAMMANY E C, INC",LA,54475
14563,PEARL RIVER VALLEY EL PWR ASSN,MS,52678
6641,4-COUNTY ELECTRIC POWER ASSN,MS,50331
19007,TOMBIGBEE ELECTRIC POWER ASSN,MS,45120
1458,"BEAUREGARD ELECTRIC COOP, INC",LA,43980
5175,DIXIE ELECTRIC POWER ASSN,MS,40789
13718,CITY OF NORTH LITTLE ROCK - (AR),AR,39748
9879,CITY WATER AND LIGHT PLANT,AR,39720
2849,CENTRAL ELECTRIC POWER ASSN - (MS),MS,38271
13676,"NORTH ARKANSAS ELEC COOP, INC",AR,38259
13735,NORTHCENTRAL MISSISSIPPI E P A,MS,34549
4280,CONWAY CORPORATION,AR,33263
11519,MAGNOLIA ELECTRIC POWER ASSN,MS,32914
4509,CRAIGHEAD ELECTRIC COOP CORP,AR,31203
17671,SOUTHWEST ARKANSAS E C C,AR,28866
22815,DELTA ELECTRIC POWER ASSN,MS,28738
40302,NORTH EAST MISSISSIPPI EPA,MS,28498
18447,TALLAHATCHIE VALLEY E P A,MS,28288
1586,CITY OF BENTONVILLE - (AR),AR,27118
17683,SOUTHWEST MISSISSIPPI E P A,MS,25559
3641,"CLAIBORNE ELECTRIC COOP, INC",LA,24236
298,CITY OF ALEXANDRIA - (LA),LA,23441
2678,C & L ELECTRIC COOP CORP,AR,22247
17565,SOUTH LOUISIANA ELEC COOP ASSN,LA,21430
14864,PETIT JEAN ELECTRIC COOP CORP,AR,20703
15211,PONTOTOC ELECTRIC POWER ASSN,MS,20202
20963,WOODRUFF ELECTRIC COOP CORP,AR,19937
276,ALCORN COUNTY ELEC POWER ASSN,MS,18955
13783,NORTHEAST LOUISIANA POWER COOP INC.,LA,17538
13227,NATCHEZ TRACE ELEC POWER ASSN,MS,16084
18943,TIPPAH ELECTRIC POWER ASSN,MS,15862
19273,CITY OF TUPELO - (MS),MS,15604
1581,CITY OF BENTON - (AR),AR,14777
18006,CITY OF STARKVILLE,MS,14294
14446,PARAGOULD LIGHT & WATER COMM,AR,14211
15334,PRENTISS COUNTY ELEC PWR ASSN,MS,14036
4153,"CONCORDIA ELECTRIC COOP, INC",LA,13804
18951,TISHOMINGO COUNTY E P A,MS,13803
8884,TERREBONNE PARISH CONSOL GOV'T,LA,13757
3712,CLAY COUNTY ELECTRIC COOP CORP,AR,13200
5578,EAST MISSISSIPPI ELEC PWR ASSN,MS,13075
4068,CITY OF COLUMBUS - (MS),MS,12698
18961,TWIN COUNTY ELECTRIC PWR ASSN,MS,12107
8748,CITY OF HOLLY SPRINGS,MS,11983
20382,CITY OF WEST MEMPHIS - (AR),AR,11855
40303,MONROE COUNTY ELEC POWER ASSN,MS,11603
16463,CITY OF RUSTON - (LA),LA,11531
13412,CITY OF NEW ALBANY - (MS),MS,11148
15175,POINTE COUPEE ELEC MEMBER CORP,LA,10658
17540,"SOUTH CENTRAL ARK EL COOP, INC",AR,10517
21114,YAZOO VALLEY ELEC POWER ASSN,MS,10452
9682,"JEFFERSON DAVIS ELEC COOP, INC",LA,10257
14275,CITY OF OXFORD - (MS),MS,10175
