eia_id,hifld_name,hifld_state,customers
963,ATLANTIC CITY ELECTRIC CO,NJ,567226
12796,MONONGAHELA POWER CO,PA,395843
21244,"SOUTHSIDE ELECTRIC COOP, INC",VA,58372
4794,CITY OF DANVILLE - (VA),VA,41776
3291,CENTRAL VIRGINIA ELECTRIC COOP,VA,38468
84,A & N ELECTRIC COOP,VA,36910
40220,ADAMS ELECTRIC COOPERATIVE INC,PA,33700
12260,MECKLENBURG ELECTRIC COOPERATIVE,VA,31860
19856,CITY OF VINELAND - (NJ),NJ,25948
40224,"CENTRAL ELECTRIC COOP, INC - (PA)",PA,25564
5335,CITY OF DOVER - (DE),DE,24756
40222,VALLEY RURAL ELECTRIC COOP INC,PA,23549
40292,REA ENERGY COOP INC,PA,22769
8198,CITY OF HARRISONBURG - (VA),VA,21575
13762,"NORTHERN NECK ELEC COOP, INC",VA,19964
40293,"NORTHWESTERN RURAL E C A, INC - (PA)",PA,19587
40290,TRI-COUNTY RURAL ELEC COOP INC (PA),PA,19514
40219,"UNITED ELECTRIC COOP, INC - (PA)",PA,19110
40289,CLAVERACK RURAL ELEC COOP INC,PA,19019
7908,HAGERSTOWN LIGHT DEPARTMENT,MD,17532
2248,BRISTOL VIRGINIA UTILITIES,VA,16393
11560,CITY OF MANASSAS - (VA),VA,16209
40167,"SOMERSET RURAL ELEC COOP, INC",PA,13856
16558,CITY OF SALEM - (VA),VA,13462
13519,CITY OF NEWARK - (DE),DE,13238
15410,PRINCE GEORGE ELECTRIC COOP,VA,12256
40299,SUSSEX RURAL ELECTRIC COOP INC,NJ,12019
2650,BOROUGH OF BUTLER - (NJ),NJ,11795
4117,COMMUNITY ELECTRIC COOP,VA,11618
3329,BOROUGH OF CHAMBERSBURG,PA,11466
5625,EASTON UTILITIES COMM,MD,10986
