eia_id,hifld_name,hifld_state,customers
54913,NSTAR ELECTRIC COMPANY,MA,1514056
11804,MASSACHUSETTS ELECTRIC CO,MA,1353871
4176,CONNECTICUT LIGHT & POWER CO,CT,1276313
3266,CENTRAL MAINE POWER CO,ME,640354
15472,PUBLIC SERVICE CO OF NH,NH,533904
13214,THE NARRAGANSETT ELECTRIC CO,RI,503017
19497,UNITED ILLUMINATING CO,CT,343461
7601,GREEN MOUNTAIN POWER CORP,VT,271700
1179,VERSANT POWER,ME,163798
13441,NEW HAMPSHIRE ELEC COOP INC,NH,83564
24590,UNITIL ENERGY SYSTEMS,NH,80797
26510,LIBERTY UTILITIES (GRANITE STATE ELECTRI,NH,45978
19791,"VERMONT ELECTRIC COOPERATIVE, INC",VT,40588
18488,CITY OF TAUNTON,MA,39168
15748,TOWN OF READING - (MA),MA,30818
6374,FITCHBURG GAS & ELEC LIGHT CO,NH,30580
14605,CITY OF PEABODY - (MA),MA,26647
3477,CITY OF CHICOPEE - (MA),MA,26014
20038,TOWN OF WALLINGFORD - (CT),CT,25219
2548,CITY OF BURLINGTON ELECTRIC - (VT),VT,21447
13831,CITY OF NORWICH - (CT),CT,20747
20481,CITY OF WESTFIELD - (MA),MA,18283
8774,CITY OF HOLYOKE - (MA),MA,17888
12473,TOWN OF MIDDLEBOROUGH - (MA),MA,17783
2144,TOWN OF BRAINTREE - (MA),MA,16738
17127,TOWN OF SHREWSBURY - (MA),MA,16335
13839,CITY OF NORWOOD - (MA),MA,15745
13206,NANTUCKET ELECTRIC CO,MA,14166
7716,GROTON DEPT OF UTILITIES - (CT),CT,13858
13679,TOWN OF NORTH ATTLEBOROUGH - (MA),MA,13804
5480,TOWN OF DANVERS,MA,13382
8973,TOWN OF HUDSON - (MA),MA,13359
19979,TOWN OF WAKEFIELD - (MA),MA,13286
5609,EASTERN MAINE ELECTRIC COOP,ME,13006
20151,WASHINGTON ELECTRIC COOP - (VT),VT,11921
1523,TOWN OF BELMONT - (MA),MA,11818
11586,TOWN OF MANSFIELD - (MA),MA,10545
20310,TOWN OF WELLESLEY - (MA),MA,10538
8796,CITY OF HINGHAM - (MA),MA,10144
11624,TOWN OF MARBLEHEAD - (MA),MA,10141
