eia_id,hifld_name,hifld_state,customers
6452,FLORIDA POWER & LIGHT CO,FL,5739183
6455,"DUKE ENERGY FLORIDA, LLC",FL,1943962
18454,TAMPA ELECTRIC CO,FL,819767
9617,JEA,FL,506581
14610,ORLANDO UTILITIES COMM,FL,269172
20885,WITHLACOOCHEE RIVER ELEC COOP,FL,238270
10857,"LEE COUNTY ELECTRIC COOP, INC",FL,237333
18304,"SUMTER ELECTRIC COOP, INC",FL,230909
3757,"CLAY ELECTRIC COOPERATIVE, INC",FL,187066
10623,CITY OF LAKELAND - (FL),FL,133118
18445,CITY OF TALLAHASSEE - (FL),FL,122045
6909,GAINESVILLE REGIONAL UTILITIES,FL,101050
10376,KISSIMMEE UTILITY AUTHORITY,FL,85744
3502,"CHOCTAWHATCHE ELEC COOP, INC",FL,60413
14606,"PEACE RIVER ELECTRIC COOP, INC",FL,57090
18449,"TALQUIN ELECTRIC COOP, INC",FL,56253
13955,CITY OF OCALA,FL,55997
9616,BEACHES ENERGY SERVICES,FL,36111
3245,"CENTRAL FLORIDA ELEC COOP, INC",FL,35781
6443,"FLORIDA KEYS EL COOP ASSN, INC",FL,33935
8795,CITY OF HOMESTEAD - (FL),FL,31576
10226,"UTILITY BOARD OF THE CITY OF KEY WEST, F",FL,31542
13485,NEW SMYRNA BEACH CITY OF,FL,30711
6457,FLORIDA PUBLIC UTILITIES CO,FL,29970
20371,"WEST FLORIDA EL COOP ASSN, INC",FL,29191
6616,FORT PIERCE UTILITIES AUTHORITY,FL,29066
18360,SUWANNEE VALLEY ELEC COOP INC,FL,28636
10868,CITY OF LEESBURG - (FL),FL,28605
10620,CITY OF LAKE WORTH BEACH - (FL),FL,27649
7785,"GULF COAST ELECTRIC COOP, INC",FL,21778
19161,"TRI-COUNTY ELECTRIC COOP, INC (FL)",FL,19918
7264,"GLADES ELECTRIC COOP, INC",FL,17664
58124,CITY OF WINTER PARK - (FL),FL,14864
1300,CITY OF BARTOW - (FL),FL,12713
5964,"ESCAMBIA RIVER ELEC COOP, INC",FL,12385
